Customer Name (E&P),Sales (C),Quantity (C),Discount (C),Profit (C)
Marc Harrigan,599.165,5,0.15,35.245
Sam Zeldin,46.53,3,0,12.0978
Patrick Ryan,31.984,2,0.2,1.999
Frank Carlisle,161.568,2,0.2,16.1568
Frank Carlisle,4.064,1,0.2,1.3716
Frank Carlisle,6.216,4,0.7,-4.9728
Larry Hughes,8.896,4,0.2,0.6672
Robert Marley,1640.7,5,0,459.396
Robert Marley,270,3,0,97.2
Don Miller,19.52,2,0.2,5.368
Don Miller,9.81,5,0.7,-6.867
Don Miller,213.216,3,0.2,15.9912
Evan Henry,588.784,2,0.2,183.995
Toby Carlisle,2.064,1,0.2,0.1548
Arianne Irving,6.368,2,0.2,2.388
Jessica Myrick,99.6,1,0,36.852
Jessica Myrick,62.296,13,0.2,21.0249
Jessica Myrick,10.71,3,0,2.7846
Bill Eplett,20.936,1,0.2,7.0659
Dan Reichenbach,33,6,0,8.25
Dan Reichenbach,249.95,5,0,87.4825
Tom Ashbrook,357.93,3,0,7.1586
Tom Ashbrook,57.4,5,0,10.906
Tom Ashbrook,331.96,2,0,149.382
Tom Ashbrook,40.56,2,0,12.9792
Kristina Nunn,86.2,5,0,24.998
Patrick Jones,38.016,6,0.2,13.7808
Matt Connell,8.384,1,0.2,0.7336
Matt Connell,6.848,2,0.2,0.7704
Bruce Stewart,19.6,5,0,9.604
Bruce Stewart,68.46,2,0,20.538
Pete Kriz,13.344,6,0.2,4.3368
Pete Kriz,1478.272,8,0.2,92.392
Thomas Seio,16.272,1,0.2,-3.8646
Bruce Degenhardt,9.24,3,0,4.4352
Toby Swindell,32.34,10,0.7,-23.716
Toby Swindell,56.064,4,0.2,19.6224
Toby Swindell,108.72,5,0.2,36.693
Toby Swindell,181.47,5,0.7,-320.597
Shui Tom,16.176,3,0.2,6.066
Dean Braden,122.352,3,0.2,13.7646
Karen Ferguson,585.552,3,0.2,73.194
Karen Ferguson,19.44,3,0,9.3312
Justin MacKendrick,123.92,5,0.2,9.294
Tony Sayre,13.36,5,0.2,4.008
Tony Sayre,78.256,2,0.2,-17.6076
Tony Sayre,102.018,7,0.7,-183.6324
Yoseph Carroll,750.68,2,0,37.534
Dean percer,44.4,3,0,22.2
Dean percer,84.55,5,0,22.8285
Dean percer,17.94,3,0,8.7906
Shirley Jackson,128.4,3,0,62.916
Karen Bern,1.869,1,0.7,-1.3083
Chris Selesnick,103.192,1,0.2,11.6091
Chris Selesnick,36,2,0,6.48
Chris Selesnick,239.96,4,0,115.1808
Chris Selesnick,40.68,2,0,0.4068
Emily Burns,419.136,4,0.2,-68.1096
Philip Brown,23.472,3,0.2,7.6284
Michelle Tran,3.592,4,0.8,-6.286
Barry Französisch,23.976,3,0.2,-5.6943
Barry Französisch,6.264,3,0.2,2.0358
Barry Französisch,20.808,3,0.2,1.8207
Barry Französisch,218.352,3,0.2,-19.1058
Claire Gute,18.16,2,0.2,1.816
Duane Huffman,7.36,2,0,0.1472
Duane Huffman,41.4,4,0,19.872
Duane Huffman,411.332,4,0.15,-4.8392
Shaun Chance,7.656,4,0.7,-6.1248
Hunter Glantz,63.92,2,0.2,19.176
Michelle Moray,6.56,2,0,1.9024
Michelle Moray,7.83,3,0,3.6018
Michelle Moray,41.9,2,0,8.799
Michelle Moray,664.146,6,0.1,88.5528
Michelle Moray,8.96,2,0,4.3904
Thea Hudgings,3.312,1,0.2,0.6624
Thea Hudgings,20.136,3,0.2,1.2585
Thea Hudgings,8.856,3,0.2,2.8782
Thea Hudgings,859.2,4,0.4,-186.16
Joel Eaton,61.96,2,0,27.882
Patrick Gardner,17.92,4,0,8.6016
Maria Bertelson,145.9,5,0,62.737
Joy Daniels,56.704,2,0.2,19.1376
Joy Daniels,11.12,2,0.2,3.475
Jennifer Halladay,32.896,4,0.2,11.1024
Jennifer Halladay,22.776,3,0.2,7.6869
Edward Nazzal,239.97,3,0,2.3997
Edward Nazzal,160.32,2,0,44.8896
Edward Nazzal,128.85,3,0,3.8655
Karen Carlisle,1319.96,4,0,527.984
Michael Stewart,239.96,10,0.3,-10.284
Michael Stewart,54.768,2,0.2,6.846
Michael Stewart,13.392,3,0.2,3.1806
Michael Stewart,23.92,5,0.2,8.671
Michael Stewart,255.968,4,0.2,-28.7964
Chloris Kastensmidt,21.552,6,0.2,7.0044
Chloris Kastensmidt,58.24,4,0,15.7248
Sanjit Jacobs,80.28,12,0,36.9288
Erin Ashbrook,9.78,2,0,4.0098
Michael Granlund,1.81,1,0,0.6516
Alejandro Ballentine,37.94,2,0,18.2112
Scott Cohen,79.96,5,0.2,27.986
Todd Boyes,115.296,3,0.2,40.3536
Juliana Krohn,2479.96,4,0,743.988
Clytie Kelty,179.94,6,0,75.5748
Clytie Kelty,26.85,3,0,5.1015
Clytie Kelty,323.37,3,0,129.348
Clytie Kelty,59.94,3,0,28.1718
Clytie Kelty,64.14,3,0,30.7872
Clytie Kelty,11.67,3,0,5.6016
Clytie Kelty,12.96,2,0,6.2208
Sonia Sunley,17.43,3,0,8.0178
Laurel Elliston,181.986,2,0.3,-54.5958
Laurel Elliston,1.592,2,0.8,-2.6268
Laurel Elliston,22.344,3,0.2,2.5137
Erin Smith,455.97,6,0.5,-218.8656
Erin Smith,10.44,6,0.7,-7.656
Erin Smith,5.214,2,0.7,-4.1712
Michael Granlund,67.4,5,0,17.524
Justin MacKendrick,25.16,2,0,10.5672
Justin MacKendrick,126.56,4,0.2,47.46
Sheri Gordon,43.68,3,0,11.7936
Sheri Gordon,139.93,7,0,34.9825
Darren Budd,2.672,1,0.2,0.334
Darren Budd,16.656,6,0.2,-3.123
Darren Budd,79.512,3,0.2,20.8719
Darren Budd,36.288,7,0.2,12.7008
Darren Budd,67.9932,1,0.32,-12.9987
Jane Waco,10.16,2,0,3.4544
Keith Dawkins,6.16,2,0,1.9712
Keith Dawkins,56.3,2,0,15.764
Ivan Liston,6.48,1,0,3.1104
Ivan Liston,1325.85,5,0,238.653
Ivan Liston,14.94,3,0,6.8724
Jim Epp,34.54,1,0,17.27
Jim Epp,2999.95,5,0,1439.976
Jim Epp,64.12,4,0,30.7776
Stephanie Ulpright,19.456,4,0.2,2.1888
Stephanie Ulpright,209.986,2,0.3,8.9994
Stephanie Ulpright,29.76,5,0.2,1.86
Stephanie Ulpright,89.768,1,0.3,-2.5648
Stephanie Ulpright,959.984,2,0.2,335.9944
Stephanie Ulpright,15.552,3,0.2,5.6376
Stephanie Ulpright,34.36,1,0.2,-7.3015
Erin Ashbrook,98.376,3,0.2,35.6613
Erin Ashbrook,29.94,4,0.7,-23.952
Erin Ashbrook,17.472,3,0.2,5.6784
Erin Ashbrook,36.738,1,0.4,-9.1845
Erin Ashbrook,179.94,2,0.4,-44.985
Roy Französisch,383.64,6,0,122.7648
Roy Französisch,56.52,3,0,15.8256
Liz Carlisle,6.56,2,0,1.9024
Liz Carlisle,243.92,5,0.2,-15.245
Liz Carlisle,47.52,9,0,22.8096
Paul Stevenson,19.98,1,0,8.5914
Paul Stevenson,8,5,0,3.44
Jas O'Carroll,6.16,2,0,1.9712
Victor Preis,83.56,4,0,1.6712
Victor Preis,546.06,3,0,163.818
Victor Preis,269.49,3,0,5.3898
Guy Armstrong,10.9,5,0,3.597
Eugene Moren,6.096,2,0.2,2.2098
Doug Bickford,34.05,3,0,9.534
Doug Bickford,352.38,2,0,81.0474
Marina Lichtenstein,245.98,2,0,27.0578
Marina Lichtenstein,18.94,1,0,9.47
Jennifer Halladay,59.913,7,0.7,-45.9333
Bart Pistole,391.98,2,0,109.7544
Bart Pistole,437.85,3,0,131.355
Sarah Brown,68.62,2,0,32.2514
Stewart Visinsky,25.02,3,0,6.5052
Stewart Visinsky,10.71,3,0,2.7846
Denny Ordway,55.984,2,0.2,4.1988
Denny Ordway,14.48,5,0.2,4.887
Denny Ordway,142.488,3,0.2,-3.5622
Todd Boyes,14.16,1,0.2,1.062
Todd Boyes,79.92,5,0.2,27.972
Bill Stewart,590.352,6,0.2,206.6232
Filia McAdams,17.088,2,0.2,1.068
Filia McAdams,98.392,1,0.2,-11.0691
John Lee,11.05,5,0,2.9835
Art Ferguson,7.78,2,0,2.0228
Barry Gonzalez,659.9,2,0,217.767
Maria Bertelson,53.04,3,0.2,-4.641
Helen Wasserman,843.9,2,0,371.316
Helen Wasserman,1496.16,9,0,224.424
Adrian Barton,117.96,2,0,5.898
Jennifer Patt,21.3,5,0,8.733
Jennifer Patt,1040.8,5,0,281.016
Jennifer Patt,29.34,6,0,7.9218
Darrin Van Huff,19.52,2,0.2,5.368
Charlotte Melton,443.92,4,0,8.8784
Steve Chapman,499.95,5,0,174.9825
Steve Chapman,3.04,1,0,1.0336
Steve Chapman,201.96,2,0,50.49
Steve Chapman,68.64,11,0,17.16
Victoria Wilson,100,4,0,21
Victoria Wilson,359.98,2,0,21.5988
Paul Prost,6.16,2,0,2.9568
Paul Prost,2348.82,9,0,399.2994
Dan Reichenbach,13.872,6,0.2,4.6818
Dan Reichenbach,273.552,3,0.2,-13.6776
Rick Bensley,815.292,9,0.4,-339.705
Natalie Fritzler,234.45,3,0,103.158
Natalie Fritzler,1256.22,6,0,75.3732
Natalie Fritzler,17.46,2,0,8.2062
Clay Rozendal,10.528,7,0.2,3.6848
Stephanie Ulpright,152.8,5,0,76.4
Sample Company A,82.56,5,0.2,28.896
Sample Company A,284.97,3,0,85.491
Michelle Lonsdale,60.84,3,0,23.1192
Gary McGarr,1325.76,6,0.2,149.148
Gary McGarr,572.16,3,0.2,35.76
Jim Kriz,28.8,9,0.2,10.08
Alyssa Tate,11.12,4,0,2.8912
Daniel Byrd,7.04,4,0,3.0976
Anna Häberlin,17.94,3,0,8.7906
Sanjit Jacobs,34.76,5,0.2,11.297
Harry Marie,74.45,5,0,20.1015
Andrew Gjertsen,192.22,14,0,69.1992
Joy Bell-,19.44,3,0,9.3312
Anthony Johnson,32.4,5,0,15.552
Anthony Johnson,57.9,5,0,28.95
Anthony Johnson,10.56,2,0,0
Anthony Johnson,1194.165,5,0.15,210.735
Muhammed MacIntyre,40.99,1,0,20.0851
Tiffany House,2.94,1,0,0.7938
Adrian Hane,45.24,4,0.7,-30.16
Adrian Hane,18.688,4,0.2,2.336
Adrian Hane,11.648,2,0.2,3.7856
Adrian Hane,112.776,3,0.2,-8.4582
Adrian Hane,377.45,5,0.5,-264.215
Adrian Hane,15.936,4,0.2,5.1792
Adrian Hane,28.68,3,0.2,-7.17
Craig Leslie,21.44,2,0.2,7.504
Craig Leslie,511.056,9,0.2,-95.823
Jason Gross,18.656,2,0.2,1.3992
Jason Gross,11.088,7,0.7,-8.1312
Jason Gross,66.688,1,0.2,4.168
Jason Gross,99.488,2,0.2,8.7052
Sanjit Engle,14.62,2,0,6.8714
Sanjit Engle,53.984,14,0.2,17.5448
Sanjit Engle,389.97,3,0,132.5898
Trudy Glocke,355.36,4,0,92.3936
Trudy Glocke,140.376,3,0.2,8.7735
Sally Hughsby,15.84,2,0.2,5.544
Sally Hughsby,8.448,2,0.2,2.64
Marc Crier,12.96,2,0,6.2208
Patrick Jones,57.408,6,0.2,5.7408
Patrick Jones,27.6,4,0,2.208
Zuschuss Carroll,38.976,3,0.6,-50.6688
Steve Carroll,20.44,7,0,9.198
Steve Carroll,109.92,2,0,53.8608
Benjamin Patterson,6.38,1,0,2.9348
Benjamin Patterson,6.48,1,0,3.1104
Rob Dowd,15.84,3,0,7.128
Rob Dowd,1049.93,7,0,293.9804
Rob Dowd,154.9,5,0,40.274
Ken Lonsdale,98.352,3,0.2,35.6526
Chloris Kastensmidt,14.32,5,0.2,5.191
Chloris Kastensmidt,129.888,6,0.2,12.9888
Chloris Kastensmidt,48.944,7,0.2,16.5186
Roger Barcio,275.058,3,0.3,-90.3762
Kalyca Meade,27.36,9,0,9.3024
Kalyca Meade,44.75,5,0,20.585
Kalyca Meade,134.99,1,0,36.4473
Kalyca Meade,26.4,5,0,12.672
Kalyca Meade,542.94,3,0,141.1644
Amy Hunt,71.088,2,0.2,-1.7772
Anthony Garverick,27.396,9,0.8,-42.4638
Anthony Garverick,13.456,1,0.8,-23.548
Evan Bailliet,11.84,1,0.2,4.44
Paul Gonzalez,35.88,6,0,17.5812
Cathy Armstrong,40.752,3,0.2,15.282
Cathy Armstrong,139.96,5,0.2,-22.7435
Sung Shariari,2.624,1,0.2,0.2952
Sung Shariari,136.53,1,0.4,-52.3365
Sung Shariari,263.96,1,0.2,42.8935
Resi Pölking,11.64,3,0,3.3756
Shaun Chance,40.176,3,0.2,14.5638
Natalie Webber,79.44,3,0,30.1872
Natalie Webber,357.93,3,0,7.1586
Natalie Webber,127.764,2,0.1,21.294
Natalie Webber,2799.944,7,0.2,1014.9797
Natalie Webber,19.44,3,0,9.3312
Katrina Willman,36.792,1,0.2,4.1391
Hallie Redmond,5.94,3,0,1.6038
Arthur Gainer,177.55,5,0,47.9385
Brian Moss,619.95,5,0,111.591
Brian Moss,29.16,3,0,8.4564
Brian Moss,57.96,7,0,27.2412
Brian Moss,29.403,3,0.1,5.2272
Roger Demir,81.4,5,0,21.164
Ken Black,8.72,5,0.2,2.289
Ken Black,91.176,3,0.2,4.5588
Ken Black,159.968,4,0.2,29.994
Dorothy Wardle,12.96,2,0,6.2208
Vivek Grady,331.536,3,0.2,-82.884
Dan Reichenbach,899.91,9,0,395.9604
Anna Häberlin,946.344,7,0.2,118.293
Jeremy Pistek,178.11,3,0,32.0598
Jeremy Pistek,1089.75,3,0,305.13
Jeremy Pistek,61.06,2,0,28.0876
Jeremy Pistek,459.92,4,0,41.3928
Jeremy Pistek,27.52,4,0,12.6592
Dan Reichenbach,638.82,9,0,185.2578
Dan Reichenbach,30.69,3,0,7.9794
Dan Reichenbach,25.16,2,0,8.5544
Jim Karlsson,13.92,3,0.2,4.872
Mark Van Huff,19.36,2,0,9.2928
Mark Van Huff,19.3,2,0,5.79
Becky Pak,38.376,3,0.2,13.4316
Dave Hallsten,12.96,2,0,6.3504
Dave Hallsten,26.48,1,0,10.0624
Dave Hallsten,532.72,2,0.2,53.272
Dave Hallsten,26.72,4,0,12.8256
Dave Hallsten,20.04,3,0,9.6192
Dave Hallsten,795.48,7,0,7.9548
Dave Hallsten,21.56,7,0,6.8992
Lena Hernandez,249.584,2,0.2,31.198
Lena Hernandez,68.112,3,0.2,17.8794
Lena Hernandez,16.56,3,0.2,-2.484
Dave Kipp,74.95,5,0,36.7255
Shahid Shariari,355.455,3,0.5,-184.8366
Frank Preis,44.4,3,0,22.2
Frank Preis,20.65,5,0,9.499
Liz Carlisle,866.4,4,0,225.264
Alan Shonely,5.56,2,0,1.4456
Hunter Glantz,3.16,4,0.8,-8.532
Hunter Glantz,1999.96,5,0.2,624.9875
Barry Weirich,46.152,3,0.2,12.1149
Brosina Hoffman,32.985,3,0.5,-1.9791
Julie Prescott,481.32,4,0,125.1432
Julie Prescott,6.384,1,0.2,2.1546
Justin MacKendrick,542.94,3,0,152.0232
Justin MacKendrick,54.92,4,0,19.7712
Fred Hopkins,1448.82,10,0.1,209.274
Matt Collins,353.88,6,0,17.694
Emily Burns,333.576,3,0.2,25.0182
Peter McVee,60.144,6,0.2,20.2986
Alex Russell,85.2,6,0.2,20.235
Sung Shariari,3.15,1,0,1.512
Sung Shariari,22.72,4,0,10.224
Shaun Chance,14.91,3,0,4.6221
Shaun Chance,1158.12,4,0,335.8548
Erin Ashbrook,599.99,1,0,233.9961
Theone Pippenger,23.968,2,0.2,2.3968
Beth Paige,638.288,7,0.2,-31.9144
Beth Paige,13.208,1,0.2,4.6228
Liz MacKendrick,15.528,3,0.2,5.823
Kean Takahito,104.85,1,0,50.328
Arthur Prichep,30.48,3,0,7.9248
Arthur Prichep,112.648,1,0.2,11.2648
John Dryer,71.976,3,0.2,24.2919
Xylona Preis,2.21,1,0,0.5967
Xylona Preis,15.52,4,0,7.4496
Xylona Preis,36.44,4,0,16.398
Juliana Krohn,217.764,6,0.7,-384.7164
Juliana Krohn,39.072,6,0.2,4.3956
Juliana Krohn,22.638,7,0.7,-16.6012
Juliana Krohn,95.144,7,0.2,10.7037
Mitch Gastineau,12.32,5,0.2,1.848
Mitch Gastineau,4.419,3,0.7,-3.0933
Patrick Gardner,35,7,0,16.8
Patrick Gardner,72.784,1,0.2,0
Patrick Gardner,97.84,2,0,25.4384
Patrick Gardner,51.75,1,0,15.525
Patrick Gardner,46.672,2,0.2,16.3352
Lisa DeCherney,1395.54,9,0,362.8404
Lisa DeCherney,117.36,4,0,36.3816
Lisa DeCherney,18.9,3,0,8.694
Lisa DeCherney,77.52,2,0,37.9848
Craig Reiter,421.372,2,0.3,-6.0196
Michael Nguyen,575.968,4,0.2,43.1976
Michael Nguyen,10.368,2,0.2,3.6288
Ruben Dartt,15.984,2,0.2,1.1988
Julie Prescott,10.272,3,0.2,1.1556
Katrina Edelman,61.792,4,0.2,6.1792
Katrina Edelman,205.9992,3,0.32,-27.2646
Delfina Latchford,12.192,3,0.2,4.1148
Delfina Latchford,87.168,2,0.2,8.7168
Delfina Latchford,31.744,2,0.2,8.3328
Karen Bern,132.224,4,0.2,-18.1808
Justin Deggeller,105.52,4,0,48.5392
Justin Deggeller,91.96,2,0,15.6332
Justin Deggeller,1487.976,3,0.2,185.997
Steven Roelle,19.44,3,0,9.3312
Amy Cox,11.672,1,0.2,-0.7295
Lynn Smith,279.96,4,0,78.3888
Lynn Smith,12.912,3,0.2,4.6806
Lynn Smith,17.088,4,0.2,5.7672
Lynn Smith,93.15,9,0,44.712
Lynn Smith,11.52,4,0,5.6448
Charles Sheldon,238.62,2,0,4.7724
Charles Sheldon,7.77,1,0,2.0979
Charles Sheldon,285.48,5,0.2,-10.7055
Charles Sheldon,19.168,4,0.2,6.4692
Andrew Roberts,26.136,3,0.2,1.9602
Katrina Bavinger,419.4,4,0,201.312
Katrina Bavinger,90.801,1,0.1,14.1246
Katrina Bavinger,181.764,2,0.1,-8.0784
Katrina Bavinger,5.56,2,0,2.224
Michael Moore,581.96,2,0,104.7528
Michael Moore,29.98,1,0,8.0946
Roland Fjeld,519.96,4,0,176.7864
Beth Paige,6.264,3,0.2,2.0358
Beth Paige,363.92,5,0.2,0
Max Jones,64.2,5,0.7,-42.8
Max Jones,38.52,3,0.7,-26.964
Max Jones,72.6,5,0.2,-8.1675
Doug O'Connell,57.568,4,0.2,5.7568
Mark Van Huff,83.7,5,0,3.348
Michael Grace,32.4,5,0,15.552
Michael Grace,47.98,2,0,11.0354
Brian Stugart,415.968,4,0.2,51.996
Brian Stugart,304.9,5,0,6.098
Brian Stugart,80.96,4,0,29.1456
Brian Stugart,777.21,7,0,54.4047
Brian Stugart,32.4,5,0,15.552
Brian Stugart,225.568,2,0.2,2.8196
Brian Stugart,36.6,3,0,15.372
Philisse Overcash,715.64,2,0,178.91
Philisse Overcash,795.51,3,0,143.1918
Philisse Overcash,549.99,1,0,274.995
Philisse Overcash,74.76,3,0,34.3896
Philisse Overcash,29.22,3,0,12.8568
Dianna Arnett,9.64,2,0,4.7236
Anna Häberlin,33.488,7,0.2,-1.2558
Anna Häberlin,23.04,3,0.2,-4.896
Anna Häberlin,1.362,1,0.8,-2.1792
Anna Häberlin,14.76,5,0.6,-11.439
Joe Kamberova,239.666,2,0.15,14.098
MaryBeth Skach,301.96,2,0,45.294
Jim Kriz,7.968,2,0.2,2.8884
Chris McAfee,109.92,2,0,53.8608
Chris McAfee,19.44,3,0,9.3312
Chris McAfee,11.16,2,0,4.3524
Ricardo Sperren,79.47,3,0,22.2516
Ricardo Sperren,4.56,2,0,2.0064
Ricardo Sperren,1133.35,5,0,294.671
Ben Peterman,4.672,1,0.2,0.584
Ben Peterman,104.58,6,0.7,-80.178
Michelle Arnett,1603.136,4,0.2,100.196
Ed Braxton,1293.488,7,0.2,80.843
Ruben Dartt,127.95,3,0,21.7515
Maria Etezadi,59.76,1,0,16.7328
Erica Hernandez,108.08,7,0,54.04
Erica Hernandez,9.54,3,0,4.3884
Frank Merwin,11.736,3,0.2,1.0269
Frank Gastineau,447.86,7,0,219.4514
Frank Gastineau,17.94,3,0,8.7906
Frank Gastineau,245.88,6,0,68.8464
Mark Van Huff,192.16,4,0,92.2368
Jane Waco,801.568,2,0.2,50.098
Jane Waco,368.91,9,0,180.7659
Jane Waco,885.528,9,0.2,-99.6219
Edward Hooks,28.28,2,0,7.3528
Edward Hooks,4912.59,3,0,196.5036
Lynn Smith,14.352,3,0.2,5.0232
Lynn Smith,179.97,3,0,86.3856
Barry Pond,42.76,1,0,11.1176
Chris Cortes,45.68,2,0,21.0128
Jill Matthias,25.06,2,0,11.7782
Roger Demir,38.432,1,0.2,13.4512
Roger Demir,21.568,2,0.2,1.6176
Roger Demir,81.576,3,0.2,2.0394
Shahid Shariari,2.78,1,0,1.3622
Keith Dawkins,99.87,3,0,23.9688
Paul Lucas,44.4,3,0,22.2
Paul Lucas,21.4,5,0,9.63
Zuschuss Donatelli,71.12,4,0,22.0472
Zuschuss Donatelli,259.96,4,0,124.7808
Linda Southworth,9.78,1,0,4.89
Patrick Bzostek,24.192,9,0.2,7.56
Pamela Coakley,31.56,3,0,10.4148
Frank Merwin,59.94,3,0,28.1718
Frank Merwin,45.36,4,0,22.2264
Frank Merwin,26.4,5,0,12.672
Frank Merwin,41.4,4,0,19.872
Frank Merwin,16.95,1,0,1.017
Keith Dawkins,24.704,2,0.2,9.264
Keith Dawkins,59.7,3,0,26.865
Keith Dawkins,14.52,3,0,5.6628
Keith Dawkins,104.184,3,0.2,33.8598
Steve Carroll,46.53,3,0,13.0284
Dorothy Wardle,25.5,3,0,6.63
Peter Fuller,14.9,5,0,1.043
Peter Fuller,87.71,7,0,41.2237
Peter Fuller,199.764,2,0.1,8.8784
Peter Fuller,94.6,4,0,27.434
Peter Fuller,4228.704,6,0.2,158.5764
Peter Fuller,2003.92,5,0.2,-25.049
Peter Fuller,209.97,3,0,58.7916
Peter Fuller,659.9,2,0,217.767
Peter Fuller,110.96,2,0,53.2608
Peter Fuller,67.8,4,0,1.356
Dean Katz,313.176,2,0.4,-120.0508
Richard Bierner,22.96,7,0,6.6584
Giulietta Dortch,1099.5,10,0,362.835
Ruben Ausman,1215.92,8,0,316.1392
Dorothy Badders,7.31,1,0,3.4357
Dorothy Badders,8.92,4,0,3.9248
Rob Lucas,87.21,3,0.5,-45.3492
Rob Lucas,15.552,3,0.2,5.4432
Rob Lucas,683.988,2,0.4,-113.998
Rob Lucas,13.392,3,0.2,1.0044
Rob Lucas,16.776,3,0.2,4.8231
Rob Lucas,527.92,2,0.2,85.787
Rick Bensley,25.4,5,0,8.636
Rick Bensley,177.48,3,0.2,19.9665
Rick Bensley,71.976,3,0.2,8.997
Jason Fortune-,95.992,1,0.2,9.5992
Jason Fortune-,13.216,4,0.2,4.2952
Robert Waldorf,435.84,12,0,130.752
Robert Waldorf,5.88,2,0,1.5876
Vivek Gonzalez,211.168,4,0.2,18.4772
Janet Molinari,6.28,1,0,2.6376
Janet Molinari,95.1,5,0,30.432
Janet Molinari,25.92,4,0,12.4416
Janet Molinari,48.84,4,0,13.1868
Brad Eason,25.9,5,0,12.691
Claudia Bergmann,42.68,4,0,19.6328
Claudia Bergmann,299.97,3,0,125.9874
Claudia Bergmann,262.24,2,0,78.672
Claudia Bergmann,234.36,6,0,112.4928
Shirley Daniels,20.736,4,0.2,7.2576
Susan Gilcrest,10.5,5,0,2.94
Tom Stivers,23.968,2,0.2,7.7896
Tom Stivers,521.96,4,0.5,-250.5408
Dean Katz,676.55,5,0,6.7655
Dean Katz,154.9,5,0,40.274
Dean Katz,30.56,4,0,14.9744
Dean Katz,770.352,3,0.2,77.0352
Marina Lichtenstein,21.12,4,0,6.5472
Matt Abelman,575.928,9,0.2,57.5928
Matt Abelman,7.78,2,0,2.0228
Matt Abelman,123.92,4,0,55.764
Lisa Ryan,17.22,3,0,5.166
Lisa Ryan,226.56,6,0,63.4368
Lisa Ryan,107.88,3,0.2,10.788
Bill Eplett,81.98,2,0,40.1702
Charles Crestani,104.85,1,0,50.328
Charles Crestani,8.704,2,0.2,3.1552
Charles Crestani,19.92,4,0,9.7608
Charles Crestani,43.02,3,0,15.4872
Bryan Davis,240.784,1,0.2,30.098
Jim Kriz,414.96,2,0,124.488
Doug Bickford,387.72,5,0.2,-67.851
Rick Reed,360.38,2,0,93.6988
Rick Reed,13.56,2,0,6.2376
Susan Vittorini,552,10,0.2,34.5
Rick Bensley,429.9,5,0,111.774
Rick Bensley,32.06,2,0,15.3888
Rick Bensley,161.96,2,0,45.3488
Rick Bensley,19.86,2,0,5.7594
Mike Vittorini,12.96,2,0,6.3504
Evan Henry,20.544,6,0.2,6.42
Joy Smith,185.58,6,0,76.0878
Joy Smith,77.56,2,0,35.6776
Joy Smith,87.92,4,0,0.8792
Joy Smith,245.94,6,0,120.5106
Joy Smith,8.6,1,0,4.042
Joy Smith,504.9,5,0,126.225
Erica Smith,2357.488,7,0.2,884.058
Erica Smith,369.544,7,0.2,32.3351
Erica Smith,184.752,3,0.2,-20.7846
Noel Staavos,64.96,5,0.2,-4.06
Noel Staavos,13.52,2,0.2,1.69
Noel Staavos,458.43,5,0.3,-137.529
Noel Staavos,387.136,4,0.2,24.196
Noel Staavos,328.59,3,0.4,-147.8655
Sally Hughsby,338.352,3,0.2,4.2294
Sally Hughsby,25.92,4,0,12.4416
Sally Hughsby,91.36,4,0,42.0256
Randy Ferguson,87.96,3,0.2,7.6965
Randy Ferguson,5.214,2,0.7,-4.1712
Dan Lawera,12.294,1,0.7,-8.6058
Allen Goldenen,19.76,4,0,8.2992
Scot Wooten,109.764,2,0.1,8.5372
Katherine Nockton,128.85,3,0,3.8655
George Bell,127.95,3,0,21.7515
Clay Ludtke,68.52,3,0,31.5192
Clay Ludtke,74.94,3,0,14.2386
Clay Ludtke,2548.56,6,0.2,286.713
Clay Ludtke,271.44,3,0,122.148
Clay Ludtke,287.88,3,0.2,35.985
Karen Ferguson,14.9,5,0,7.152
Karen Ferguson,4158.912,8,0.2,363.9048
Andy Yotov,91.96,2,0,15.6332
Andy Yotov,33.11,7,0,12.9129
Andy Yotov,19.44,3,0,9.3312
Andy Yotov,55.48,1,0,26.6304
Brian Derr,91.92,5,0.2,11.49
Hunter Glantz,17.34,2,0,4.6818
Hunter Glantz,71.98,2,0,15.1158
Cassandra Brandow,7.08,3,0.2,2.478
Linda Southworth,69.98,2,0,4.8986
Darrin Martin,646.272,8,0.2,64.6272
Darrin Martin,10.368,2,0.2,3.7584
Ann Chong,8.4,5,0,0.336
Ann Chong,71.96,5,0.2,25.186
Liz Thompson,18.48,2,0.2,6.006
Tim Brockman,9.84,3,0,2.8536
Angele Hood,239.24,1,0.2,23.924
Saphhira Shifley,21.12,4,0,6.5472
Tamara Dahlen,54.9,5,0,15.372
Paul Prost,15.24,3,0,5.1816
Patrick Gardner,19.568,2,0.8,-52.8336
Patrick Gardner,310.392,4,0.8,-512.1468
Anna Andreadi,42.6,3,0,16.614
Anna Andreadi,113.94,6,0,54.6912
Anna Andreadi,129.92,4,0,5.1968
Anna Andreadi,5.28,3,0,2.5344
Frank Atkinson,859.2,3,0.2,75.18
Frank Atkinson,506.28,3,0.2,177.198
Tracy Blumstein,14.368,2,0.2,3.9512
Adam Hart,314.352,3,0.2,-35.3646
Adam Hart,27.888,7,0.2,10.1094
Cathy Prescott,238.152,3,0.2,89.307
Benjamin Farhat,692.94,3,0,173.235
Christine Phan,16.146,9,0.7,-12.9168
Christine Phan,1345.485,5,0.7,-1031.5385
Lynn Smith,173.488,7,0.2,54.215
Trudy Schmidt,57.75,5,0,16.17
Trudy Schmidt,272.4,5,0,76.272
Joni Sundaresam,11.952,3,0.2,4.0338
Joni Sundaresam,28,4,0.2,7.7
